id,name
1,zmat4
2,chd4
3,slc35d1
4,shmt1
5,il33
6,foxf2
7,htra2
8,tgif1
9,eprosartan
10,krt5
11,tamoxifen
12,p4hb
13,prkag1
14,trps1
15,amn
16,colistimethate
17,traf3ip2
18,smn1
19,cfhr4
20,tfpi
21,rabggtb
22,anagrelide
23,il15
24,isg15
25,depression
26,col6a2
27,gpx3
28,vdac1
29,krt83
30,capn3
31,nitroprusside
32,pde5a
33,cleidocranial dysplasia
34,raynaud disease
35,fgf17
36,ccl5
37,cntn1
38,ventilator induced lung injury
39,hyperthyroidism
40,vrk1
41,isoxsuprine
42,flucloxacillin
43,slc5a7
44,mat2a
45,tcf7l2
46,chenodeoxycholic acid
47,verteporfin
48,npc1l1
49,slc6a12
50,zfyve26
51,pak1
52,fibromyalgia
53,psat1
54,klrc1
55,formestane
56,aldh1a2
57,hcn2
58,bromazepam
59,neu2
60,elf2
61,kera
62,cinacalcet
63,ube2a
64,ropinirole
65,gja9
66,pyoderma gangrenosum
67,rfxank
68,cul7
69,bmpr2
70,rbx1
71,hepatitis viral human
72,mmachc
73,hsf4
74,secisbp2
75,apob
76,cyp27a1
77,lacosamide
78,inpp5d
79,ap4m1
80,ptgs1
81,lgsn
82,methotrimeprazine
83,osteitis deformans
84,bardet biedl syndrome
85,anorexia nervosa
86,clidinium
87,siglec1
88,dguok
89,lipid metabolism inborn errors
90,mcm6
91,ttll5
92,slc44a1
93,sulfadoxine
94,rasgrp2
95,nlgn4x
96,il6r
97,loratadine
98,pvalb
99,cytarabine
100,ischemia
101,hydin
102,rad52
103,ugt1a4
104,tooth abnormalities
105,cacna1i
106,joint diseases
107,polb
108,torasemide
109,premature ejaculation
110,rab23
111,treh
112,ctf1
113,cln8
114,rnf170
115,hyperbilirubinemia neonatal
116,exfoliation syndrome
117,tlr2
118,sodium bicarbonate
119,dental enamel hypoplasia
120,lornoxicam
121,cyp1a2
122,ca12
123,ntrk2
124,cd14
125,tsc2
126,hgf
127,esr2
128,pde10a
129,pyruvic acid
130,prostatic diseases
131,sumo4
132,pex11b
